package	version	license
cheerio-select	2.1.0	BSD-2-Clause
chokidar	4.0.3	MIT
chownr	1.1.4	ISC
clsx	2.1.1	MIT
cockatiel	3.2.1	MIT
color-convert	2.0.1	MIT
color-name	1.1.4	MIT
combined-stream	1.0.8	MIT
commander	12.1.0	MIT
cookie	0.6.0	MIT
css-select	5.2.2	BSD-2-Clause
css-what	6.2.2	BSD-2-Clause
debug	4.4.3	MIT
decompress-response	6.0.0	MIT
deep-extend	0.6.0	MIT
deepmerge	4.3.1	MIT
default-browser	5.5.0	MIT
default-browser-id	5.0.1	MIT
define-lazy-prop	3.0.0	MIT
delayed-stream	1.0.0	MIT
detect-libc	2.1.2	Apache-2.0
devalue	5.8.1	MIT
dom-serializer	2.0.0	MIT
domelementtype	2.3.0	BSD-2-Clause
domhandler	5.0.3	BSD-2-Clause
domutils	3.2.2	BSD-2-Clause
dunder-proto	1.0.1	MIT
ecdsa-sig-formatter	1.0.11	Apache-2.0
editions	6.22.0	Artistic-2.0
emoji-regex	8.0.0	MIT
encoding-sniffer	0.2.1	MIT
end-of-stream	1.4.5	MIT
entities	4.5.0	BSD-2-Clause
entities	6.0.1	BSD-2-Clause
entities	7.0.1	BSD-2-Clause
environment	1.1.0	MIT
es-define-property	1.0.1	MIT
es-errors	1.3.0	MIT
es-object-atoms	1.1.2	MIT
es-set-tostringtag	2.1.0	MIT
esbuild	0.25.12	MIT
esm-env	1.2.2	MIT
esrap	2.2.13	MIT
estree-walker	3.0.3	MIT
expand-template	2.0.3	(MIT OR WTFPL)
fast-deep-equal	3.1.3	MIT
fast-glob	3.3.3	MIT
fast-uri	3.1.3	BSD-3-Clause
fast-uri	3.1.5	BSD-3-Clause
fastq	1.20.1	ISC
fdir	6.5.0	MIT
fill-range	7.1.1	MIT
form-data	4.0.6	MIT
fs-constants	1.0.0	MIT
fs-extra	11.3.6	MIT
function-bind	1.1.2	MIT
get-intrinsic	1.3.0	MIT
get-proto	1.0.1	MIT
github-from-package	0.0.0	MIT
glob	13.0.6	BlueOak-1.0.0
glob-parent	5.1.2	ISC
globby	14.1.0	MIT
gopd	1.2.0	MIT
graceful-fs	4.2.11	ISC
has-flag	4.0.0	MIT
has-symbols	1.1.0	MIT
has-tostringtag	1.0.2	MIT
hasown	2.0.4	MIT
hosted-git-info	4.1.0	ISC
hosted-git-info	7.0.2	ISC
htmlparser2	10.1.0	MIT
http-proxy-agent	7.0.2	MIT
https-proxy-agent	7.0.6	MIT
iceberg-js	0.8.1	MIT
iconv-lite	0.6.3	MIT
ieee754	1.2.1	BSD-3-Clause
ignore	7.0.6	MIT
index-to-position	1.2.0	MIT
inherits	2.0.4	ISC
ini	1.3.8	ISC
is-docker	3.0.0	MIT
is-extglob	2.1.1	MIT
is-fullwidth-code-point	3.0.0	MIT
is-glob	4.0.3	MIT
is-inside-container	1.0.0	MIT
is-number	7.0.0	MIT
is-reference	3.0.3	MIT
is-wsl	3.1.1	MIT
istextorbinary	9.5.0	Artistic-2.0
js-tokens	4.0.0	MIT
js-yaml	4.3.0	MIT
js-yaml	4.3.1	MIT
json-schema-traverse	1.0.0	MIT
json5	2.2.3	MIT
jsonc-parser	3.3.1	MIT
jsonfile	6.2.1	MIT
jsonwebtoken	9.0.3	MIT
jwa	2.0.1	MIT
jws	4.0.1	MIT
keytar	7.9.0	MIT
kleur	4.1.5	MIT
leven	3.1.0	MIT
linkify-it	5.0.2	MIT
locate-character	3.0.0	MIT
lodash	4.18.1	MIT
lodash.includes	4.3.0	MIT
lodash.isboolean	3.0.3	MIT
lodash.isinteger	4.0.4	MIT
lodash.isnumber	3.0.3	MIT
lodash.isplainobject	4.0.6	MIT
lodash.isstring	4.0.1	MIT
lodash.once	4.1.1	MIT
lodash.truncate	4.4.2	MIT
lru-cache	10.4.3	ISC
lru-cache	11.5.2	BlueOak-1.0.0
lru-cache	6.0.0	ISC
magic-string	0.30.21	MIT
markdown-it	14.3.0	MIT
math-intrinsics	1.1.0	MIT
mdurl	2.0.0	MIT
merge2	1.4.1	MIT
micromatch	4.0.8	MIT
mime	1.6.0	MIT
mime-db	1.52.0	MIT
mime-types	2.1.35	MIT
mimic-response	3.1.0	MIT
minimatch	10.2.5	BlueOak-1.0.0
minimist	1.2.8	MIT
minipass	7.1.3	BlueOak-1.0.0
mkdirp-classic	0.5.3	MIT
mri	1.2.0	MIT
mrmime	2.0.1	MIT
ms	2.1.3	MIT
mute-stream	0.0.8	ISC
nanoid	3.3.16	MIT
nanoid	3.3.17	MIT
napi-build-utils	2.0.0	MIT
node-abi	3.94.0	MIT
node-addon-api	4.3.0	MIT
node-sarif-builder	3.4.0	MIT
normalize-package-data	6.0.2	BSD-2-Clause
nth-check	2.1.1	BSD-2-Clause
object-inspect	1.13.4	MIT
once	1.4.0	ISC
open	10.2.0	MIT
p-map	7.0.5	MIT
parse-json	8.3.0	MIT
parse-semver	1.1.1	MIT
parse5	7.3.0	MIT
parse5-htmlparser2-tree-adapter	7.1.0	MIT
parse5-parser-stream	7.1.2	MIT
path-scurry	2.0.2	BlueOak-1.0.0
path-type	6.0.0	MIT
pend	1.2.0	MIT
phosphor-svelte	3.1.0	MIT
picocolors	1.1.1	ISC
picomatch	2.3.2	MIT
picomatch	4.0.5	MIT
pluralize	2.0.0	MIT
pluralize	8.0.0	MIT
postcss	8.5.19	MIT
prebuild-install	7.1.3	MIT
pump	3.0.4	MIT
punycode.js	2.3.1	MIT
qs	6.15.3	BSD-3-Clause
queue-microtask	1.2.3	MIT
rc	1.2.8	(BSD-2-Clause OR MIT OR Apache-2.0)
rc-config-loader	4.1.4	MIT
read	1.0.7	ISC
read-pkg	9.0.1	MIT
readable-stream	3.6.2	MIT
readdirp	4.1.2	MIT
require-from-string	2.0.2	MIT
reusify	1.1.0	MIT
rollup	4.62.2	MIT
run-applescript	7.1.0	MIT
run-parallel	1.2.0	MIT
sade	1.8.1	MIT
safe-buffer	5.2.1	MIT
safer-buffer	2.1.2	MIT
sax	1.6.0	BlueOak-1.0.0
secretlint	10.2.2	MIT
semver	5.7.2	ISC
semver	7.8.5	ISC
set-cookie-parser	3.1.2	MIT
side-channel	1.1.1	MIT
side-channel-list	1.0.1	MIT
side-channel-map	1.0.1	MIT
side-channel-weakmap	1.0.2	MIT
simple-concat	1.0.1	MIT
simple-get	4.0.1	MIT
sirv	3.0.2	MIT
slash	5.1.0	MIT
slice-ansi	4.0.0	MIT
source-map-js	1.2.1	BSD-3-Clause
spdx-correct	3.2.0	Apache-2.0
spdx-exceptions	2.5.0	CC-BY-3.0
spdx-expression-parse	3.0.1	MIT
spdx-license-ids	3.0.23	CC0-1.0
string_decoder	1.3.0	MIT
string-width	4.2.3	MIT
strip-ansi	6.0.1	MIT
strip-ansi	7.2.0	MIT
strip-json-comments	2.0.1	MIT
structured-source	4.0.0	BSD-2-Clause
supports-color	7.2.0	MIT
supports-hyperlinks	3.2.0	MIT
svelte	5.56.4	MIT
svelte	5.56.8	MIT
svelte-check	4.7.2	MIT
svelte-check	4.7.5	MIT
table	6.9.0	BSD-3-Clause
tar-fs	2.1.5	MIT
tar-stream	2.2.0	MIT
terminal-link	4.0.0	MIT
text-table	0.2.0	MIT
textextensions	6.11.0	Artistic-2.0
tinyglobby	0.2.17	MIT
tmp	0.2.7	MIT
to-regex-range	5.0.1	MIT
totalist	3.0.1	MIT
tslib	2.8.1	0BSD
tunnel	0.0.6	MIT
tunnel-agent	0.6.0	Apache-2.0
type-fest	4.41.0	(MIT OR CC0-1.0)
typed-rest-client	1.8.11	MIT
typescript	5.9.3	Apache-2.0
uc.micro	2.1.0	MIT
underscore	1.13.8	MIT
undici	7.28.0	MIT
undici	7.29.0	MIT
undici-types	6.21.0	MIT
unicorn-magic	0.1.0	MIT
unicorn-magic	0.3.0	MIT
universalify	2.0.1	MIT
url-join	4.0.1	MIT
util-deprecate	1.0.2	MIT
validate-npm-package-license	3.0.4	Apache-2.0
version-range	4.15.0	Artistic-2.0
vite	6.4.3	MIT
vitefu	1.1.3	MIT
whatwg-encoding	3.1.1	MIT
whatwg-mimetype	4.0.0	MIT
wrappy	1.0.2	ISC
wsl-utils	0.1.0	MIT
xml2js	0.5.0	MIT
xmlbuilder	11.0.1	MIT
yallist	4.0.0	ISC
yauzl	3.4.0	MIT
yazl	2.5.1	MIT
zimmerframe	1.1.4	MIT
